work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Engineer,304200,USD,304200,US,0,US,M
2023,SE,FT,Machine Learning Engineer,304000,USD,304000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,303400,USD,303400,US,100,US,M
2024,SE,FT,Machine Learning Engineer,303400,USD,303400,US,0,US,M
2024,SE,FT,Machine Learning Engineer,303400,USD,303400,CA,100,CA,M
2024,SE,FT,Machine Learning Engineer,303400,USD,303400,US,100,US,M
2024,SE,FT,Research Scientist,303050,USD,303050,US,0,US,M
2023,SE,FT,Research Scientist,303050,USD,303050,US,0,US,M
2023,SE,FT,Research Scientist,303050,USD,303050,US,0,US,M
2023,SE,FT,Research Scientist,303050,USD,303050,US,0,US,M
2024,SE,FT,Research Scientist,302840,USD,302840,US,0,US,M
2023,SE,FT,Machine Learning Software Engineer,302000,USD,302000,US,0,US,M
2023,SE,FT,Data Scientist,300240,USD,300240,US,0,US,M
2023,SE,FT,Data Scientist,300240,USD,300240,US,0,US,M
2023,SE,FT,Data Infrastructure Engineer,300105,USD,300105,US,0,US,M
2024,SE,FT,Machine Learning Infrastructure Engineer,300000,USD,300000,US,0,US,M
2024,EX,FT,Data Science,300000,USD,300000,US,100,US,M
2024,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M
2024,MI,FT,Research Scientist,300000,USD,300000,US,0,US,M
2024,EN,FT,Research Analyst,300000,USD,300000,US,0,US,M
2024,EN,FT,Research Analyst,300000,USD,300000,US,0,US,M
2024,EN,FT,Research Analyst,300000,USD,300000,US,100,US,M
2024,EX,FT,Data Science,300000,USD,300000,US,100,US,M
2024,EX,FT,Data Science,300000,USD,300000,US,100,US,M
2024,SE,FT,Research Engineer,300000,USD,300000,GB,0,GB,M
2024,EX,FT,Data Science,300000,USD,300000,US,100,US,M
2024,SE,FT,ML Engineer,300000,USD,300000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,300000,USD,300000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
2024,EX,FT,Data Science,300000,USD,300000,US,100,US,M
2024,SE,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Research Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Data Engineer,300000,USD,300000,US,100,US,M
2023,SE,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Data Scientist,300000,USD,300000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Data Engineer,300000,USD,300000,US,100,US,M
2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M
2023,MI,FT,Research Engineer,300000,USD,300000,US,0,US,M
2023,MI,FT,Research Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Machine Learning Scientist,300000,USD,300000,US,0,US,M
2023,MI,FT,Analytics Engineer,300000,GBP,369120,GB,0,GB,M
2023,MI,FT,Research Scientist,300000,USD,300000,US,0,US,M
2023,SE,FT,Data Scientist,300000,USD,300000,US,0,US,M
2023,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Research Scientist,300000,USD,300000,US,0,US,M
2023,SE,FT,ML Engineer,300000,USD,300000,US,0,US,M
2023,MI,FT,AI Engineer,300000,GBP,369120,GB,0,GB,M
2023,MI,FT,Data Analyst,300000,GBP,369120,GB,0,GB,M
2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
2023,MI,FT,AI Engineer,300000,USD,300000,QA,100,QA,M
2023,SE,FT,Data Scientist,300000,USD,300000,US,0,US,M
2023,SE,FT,Data Scientist,300000,USD,300000,US,0,US,M
2023,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
2023,MI,FT,Machine Learning Engineer,300000,USD,300000,GB,0,GB,M
2020,EX,FT,Managing Director Data Science,300000,USD,300000,US,100,US,L
2023,MI,FT,ML Engineer,300000,USD,300000,AU,0,AU,M
2023,SE,CT,Finance Data Analyst,300000,EUR,323905,FR,100,US,M
2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M
2023,EX,FT,Data Scientist,300000,USD,300000,US,0,US,M
2022,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M
2022,SE,FT,Research Scientist,300000,USD,300000,US,100,US,M
2022,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M
2022,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M
2022,SE,FT,Data Engineer,300000,USD,300000,US,0,US,M
2022,SE,FT,Data Science Manager,300000,USD,300000,US,100,US,M
2020,EN,FT,AI Scientist,300000,DKK,45896,DK,50,DK,S
2024,SE,FT,Data Architect,299792,USD,299792,US,0,US,M
2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2023,EX,FT,Data Scientist,299500,USD,299500,US,100,US,M
2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2023,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2022,SE,FT,Data Science Manager,299500,USD,299500,US,0,US,M
2023,SE,FT,Machine Learning Engineer,299000,USD,299000,US,0,US,M
2022,EX,FT,Data Engineer,297500,USD,297500,US,100,US,M
2023,SE,FT,Data Scientist,297300,USD,297300,US,100,US,M
2023,SE,FT,Data Science Manager,297300,USD,297300,US,100,US,M
2023,SE,FT,Machine Learning Engineer,297300,USD,297300,US,100,US,M
2023,SE,FT,Machine Learning Engineer,297300,USD,297300,US,100,US,M
2023,SE,FT,Data Scientist,297300,USD,297300,US,100,US,M
2023,SE,FT,Data Scientist,297300,USD,297300,US,100,US,M
2023,SE,FT,ML Engineer,297300,USD,297300,US,100,US,M
2023,SE,FT,Machine Learning Engineer,297300,USD,297300,US,100,US,M
2023,SE,FT,Data Scientist,297300,USD,297300,US,100,US,M
2023,SE,FT,Data Scientist,297300,USD,297300,US,100,US,M
2023,SE,FT,Data Science Manager,297300,USD,297300,US,100,US,M
2023,SE,FT,Data Scientist,297300,USD,297300,US,100,US,M
2024,SE,FT,Data Scientist,297000,USD,297000,US,0,US,M
2024,SE,FT,Data Scientist,297000,USD,297000,US,0,US,M
2024,SE,FT,Data Scientist,297000,USD,297000,US,0,US,M
2020,EN,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S
